Index,RollingAccuracy,KSStatistic,PValue
17600,0.704,0.356,1.1582681881726136e-56
17700,0.706,0.351,4.64927301850743e-55
17800,0.711,0.346,1.7628312247911467e-53
17900,0.706,0.346,1.7628312247911467e-53
18000,0.699,0.352,2.231788601339735e-55
18100,0.703,0.353,1.0688832325706935e-55
18200,0.724,0.338,5.261321340466556e-51
18300,0.729,0.337,1.0617870216507167e-50
18400,0.736,0.332,3.4361829016674145e-49
18500,0.724,0.337,1.0617870216507167e-50
18600,0.722,0.331,6.841548019463371e-49
18700,0.726,0.326,2.0698386780497703e-47
18800,0.727,0.324,7.969763456935227e-47
18900,0.726,0.334,8.609790616330956e-50
19000,0.731,0.329,2.6939327692004903e-48
19100,0.748,0.316,1.6022936229377296e-44
19200,0.746,0.31,7.79277593568231e-43
19300,0.736,0.306,9.933667429508653e-42
19400,0.73,0.304,3.5000098011524194e-41
19500,0.738,0.301,2.276862872642912e-40
19600,0.737,0.303,6.548081464422891e-41
19700,0.725,0.319,2.2297558063315152e-45
19800,0.718,0.313,1.1286198577396754e-43
19900,0.72,0.311,4.101461018780163e-43
